dataset,exercise_set,question,answer,grade,min_grade,max_grade,subject,exercise_type,isced_level,language,rubric,desired_answer,metadata
mohler,1,What is the role of a prototype program in problem solving?,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,To find problem and errors in a program before it is finalized,2,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,you can break the whole program into prototype programs to simulate parts of the final program,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,Simulating the behavior of only a portion of the desired software product.,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,A program that stimulates the behavior of portions of the desired software product.,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,A program that simulates the behavior of portions of the desired software product.,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,To lay out the basics and give you a starting point in the actual problem solving.,2,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,Program that simulates the behavior of portions of the desired software product,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,it provides a limited proof of concept to verify with the client before actually programming the whole application.,2,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,It tests the main function of the program while leaving out the finer details.,2,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,it simulates the behavior of portions of the desired software product,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,It simulates the behavior of portions of the desired software product.,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,it simulates the behavior of portions of the desired software product,5,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,1,What is the role of a prototype program in problem solving?,The role of a prototype program is to help spot key problems that may arise during the actual programing.,2,1.0,5.0,computer_science,short_answer,6,english,,To simulate the behaviour of portions of the desired software product.,
mohler,2,What stages in the software life cycle are influenced by the testing stage?,"Refining the solution, Production and Maintenance are all influenced by the Testing stage. ",3,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, Construction, and Transition are all affected by testing",2,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,Refining and Coding,5,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, Construction, Transition",2,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,Refining.,3,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.  Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle.",5,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,"Refining, production, and maintenance",3,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,coding and refining,5,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,Testing could affect all parts of the life cycle; it could make you go back   to specification if it does not test well.,2,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,2,What stages in the software life cycle are influenced by the testing stage?,coding,3,1.0,5.0,computer_science,short_answer,6,english,,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),
mohler,3,What are the main advantages associated with object-oriented programming?,"This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",5,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
mohler,3,What are the main advantages associated with object-oriented programming?,Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,1,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
mohler,3,What are the main advantages associated with object-oriented programming?,"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",4,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
mohler,3,What are the main advantages associated with object-oriented programming?,#NAME?,3,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
mohler,3,What are the main advantages associated with object-oriented programming?,"One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.   Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.   Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism. ",5,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
mohler,3,What are the main advantages associated with object-oriented programming?,Using different modules allows for easier debugging,2,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
